GN,PEG,T,Conductivity
0,0.07,25,-5.61
0,0.07,30,-5.5
0,0.07,40,-4.68
0,0.07,50,-4.26
0,0.07,60,-4.01
0,0.07,70,-3.17
0.24,0.028,25,-3.35
0.24,0.028,30,-3.24
0.24,0.028,41,-3.01
0.24,0.028,50,-2.8
0.24,0.028,60,-2.64
0.24,0.028,70,-2.5
0.24,0.028,80,-2.36
0.24,0.028,90,-2.31
0.24,0.028,100,-2.34
0.4,0.028,25,-2.91
0.4,0.028,30,-2.77
0.4,0.028,40,-2.57
0.4,0.028,50,-2.71
0.4,0.028,60,-2.78
0.4,0.028,70,-2.86
0.4,0.028,80,-2.7
0.4,0.028,90,-2.65
0.4,0.028,100,-2.95
0.4,0.046,25,-3.22
0.4,0.046,30,-3.14
0.4,0.046,40,-3.04
0.4,0.046,50,-2.94
0.4,0.046,60,-2.72
0.4,0.046,70,-2.52
0.4,0.046,80,-2.5
0.4,0.046,90,-2.39
0.3,0.028,25,-3.12
0.3,0.028,30,-3.04
0.3,0.028,40,-2.76
0.3,0.028,50,-2.59
0.3,0.028,60,-2.46
0.3,0.028,70,-2.34
0.3,0.028,80,-2.26
0.3,0.028,90,-2.22
0.3,0.028,100,-2.18
0,0,25,-4.53
0,0,30,-4.33
0,0,40,-3.91
0,0,50,-3.51
0,0,60,-3.27
0,0,70,-3.08
0,0,80,-2.92
0.08,0,25,-3.65
0.08,0,30,-3.5
0.08,0,40,-3.06
0.08,0,50,-2.91
0.08,0,60,-2.75
0.08,0,70,-2.65
0.08,0,80,-2.55
0.16,0,25,-3.44
0.16,0,30,-3.31
0.16,0,40,-3.1
0.16,0,50,-2.92
0.16,0,60,-2.79
0.16,0,70,-2.65
0.16,0,80,-2.56
0,0.03,25,-4.52
0,0.03,30,-4.19
0,0.03,40,-3.88
0,0.03,50,-3.62
0,0.03,60,-3.45
0,0.03,70,-3.28
0,0.03,80,-3.16
0,0.1,25,-5.1
0,0.1,30,-4.83
0,0.1,40,-4.09
0,0.1,50,-3.66
0,0.1,60,-3.38
0,0.1,70,-3.11
0,0.1,80,-2.9
0.24,0,25,-3.13
0.24,0,30,-2.89
0.24,0,40,-2.76
0.24,0,50,-2.63
0.24,0,60,-2.53
0.24,0,70,-2.44
0.24,0,80,-2.39
